qseqid	sseqid	pident	length	qcovs	evalue	bitscore	title
CDNNHOAL_00001	sp|P60119.1|	27.602	221	62	3.71e-18	86.3	Putative replication protein [Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis]
CDNNHOAL_00003	sp|P76542.2|	36.658	401	94	1.29e-57	197	Prophage integrase IntZ
CDNNHOAL_00003	sp|P32053.2|	32.439	410	95	3.70e-45	164	Prophage integrase IntA
CDNNHOAL_00003	sp|P39347.1|	31.888	392	90	1.04e-42	157	Putative protein IntB
CDNNHOAL_00004	sp|A9MEB0.1|	100.000	520	100	0.0	1069	GMP synthase [glutamine-hydrolyzing]
CDNNHOAL_00004	sp|A9WY54.1|	99.808	520	100	0.0	1066	GMP synthase [glutamine-hydrolyzing]
CDNNHOAL_00004	sp|C0RKS9.1|	99.615	520	100	0.0	1065	GMP synthase [glutamine-hydrolyzing]
CDNNHOAL_00005	sp|A5UCP4.1|	33.333	159	67	9.53e-09	56.6	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
CDNNHOAL_00005	sp|A5UIX8.1|	32.704	159	67	3.03e-08	55.5	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
CDNNHOAL_00005	sp|P45113.1|	32.704	159	67	5.09e-08	54.7	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
CDNNHOAL_00006	sp|P95914.1|	31.579	133	69	6.62e-13	65.9	Putative esterase SSO2140 [Saccharolobus solfataricus P2]
CDNNHOAL_00006	sp|Q97YR6.1|	32.824	131	69	9.60e-13	65.9	Putative esterase SSO1253 [Saccharolobus solfataricus P2]
CDNNHOAL_00006	sp|Q976X8.1|	30.081	123	64	3.11e-12	64.3	Putative esterase STK_00610 [Sulfurisphaera tokodaii str. 7]
CDNNHOAL_00007	sp|Q7MYI0.1|	30.744	309	70	9.72e-36	139	Ribosomal RNA small subunit methyltransferase B
CDNNHOAL_00007	sp|B5BGV5.1|	34.231	260	59	5.29e-35	137	Ribosomal RNA small subunit methyltransferase B
CDNNHOAL_00007	sp|Q8ZLM5.1|	34.231	260	59	5.62e-35	137	Ribosomal RNA small subunit methyltransferase B
CDNNHOAL_00010	sp|Q8FWU0.3|	100.000	499	100	0.0	1047	Catalase [Brucella suis 1330]
CDNNHOAL_00010	sp|P0A326.2|	99.800	499	100	0.0	1043	Catalase [Brucella melitensis bv. 1 str. 16M]
CDNNHOAL_00010	sp|P95631.2|	82.164	499	100	0.0	872	Catalase A [Sinorhizobium meliloti 1021]
CDNNHOAL_00011	sp|A9CGX9.1|	38.870	301	95	1.14e-65	211	HTH-type transcriptional regulator OxyR
CDNNHOAL_00011	sp|P0ACQ4.1|	37.024	289	91	7.14e-58	191	DNA-binding transcriptional dual regulator OxyR
CDNNHOAL_00011	sp|P71318.1|	36.986	292	92	9.04e-57	188	Hydrogen peroxide-inducible genes activator [Pectobacterium carotovorum subsp. carotovorum]
CDNNHOAL_00012	sp|D3RVD4.1|	44.314	255	70	2.70e-58	192	Thiosulfate dehydrogenase
CDNNHOAL_00012	sp|A4VND8.1|	40.506	237	66	5.54e-54	182	Thiosulfate dehydrogenase
CDNNHOAL_00012	sp|D5WYQ5.1|	39.062	256	72	6.64e-54	182	Thiosulfate dehydrogenase
CDNNHOAL_00013	sp|Q9KH33.1|	80.123	488	98	0.0	757	Inosine-5'-monophosphate dehydrogenase
CDNNHOAL_00013	sp|O67820.1|	59.213	483	97	0.0	577	Inosine-5'-monophosphate dehydrogenase
CDNNHOAL_00013	sp|P21879.2|	55.714	490	99	0.0	558	Inosine-5'-monophosphate dehydrogenase
CDNNHOAL_00014	sp|A8ALD3.1|	30.269	446	92	1.47e-33	134	H(+)/Cl(-) exchange transporter ClcA [Citrobacter koseri ATCC BAA-895]
CDNNHOAL_00014	sp|Q8ZRP8.1|	29.372	446	92	8.88e-33	132	H(+)/Cl(-) exchange transporter ClcA [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]
CDNNHOAL_00014	sp|A9MPK6.1|	29.596	446	92	1.41e-32	132	H(+)/Cl(-) exchange transporter ClcA [Salmonella enterica subsp. arizonae serovar 62:z4,z23:-]
CDNNHOAL_00015	sp|P53425.1|	42.857	343	84	9.89e-60	199	Uncharacterized aminopeptidase ML1167 [Mycobacterium leprae TN]
CDNNHOAL_00015	sp|P64812.1|	41.713	362	88	7.95e-54	184	Uncharacterized aminopeptidase Mb1368 [Mycobacterium tuberculosis variant bovis AF2122/97]
CDNNHOAL_00015	sp|Q14T92.1|	34.076	314	82	2.16e-24	104	Putative NylC-analogous protein [Agromyces sp. KY5R]
CDNNHOAL_00016	sp|P55356.1|	48.511	470	97	1.12e-138	410	Phosphomannomutase
CDNNHOAL_00016	sp|Q00330.1|	41.037	463	96	1.18e-103	320	Phosphomannomutase
CDNNHOAL_00016	sp|P26405.1|	40.611	458	94	1.61e-101	315	Phosphomannomutase
CDNNHOAL_00017	sp|B0RVK6.1|	48.832	471	99	8.12e-153	445	Xanthan biosynthesis protein XanB
CDNNHOAL_00017	sp|P0C7J3.1|	48.620	471	99	2.14e-152	444	Xanthan biosynthesis protein XanB
CDNNHOAL_00017	sp|P07874.3|	47.269	476	99	6.76e-150	438	Alginate biosynthesis protein AlgA
CDNNHOAL_00018	sp|P0A9F6.1|	29.693	293	97	4.39e-23	99.4	Glycine cleavage system transcriptional activator
CDNNHOAL_00018	sp|P24734.3|	30.802	237	79	1.02e-15	79.0	HTH-type transcriptional activator AmpR [Pseudomonas aeruginosa PAO1]
CDNNHOAL_00018	sp|Q57083.1|	28.571	252	83	1.89e-13	72.4	HTH-type transcriptional regulator PerR
CDNNHOAL_00019	sp|P77473.2|	32.143	476	89	9.35e-76	251	Probable cyclic di-GMP phosphodiesterase PdeB [Escherichia coli K-12]
CDNNHOAL_00019	sp|P32701.2|	30.798	526	97	1.72e-68	232	Probable cyclic di-GMP phosphodiesterase PdeC [Escherichia coli K-12]
CDNNHOAL_00019	sp|Q9HYT3.1|	39.453	256	48	3.71e-46	176	Cyclic di-GMP phosphodiesterase NbdA
CDNNHOAL_00021	sp|Q8FWV4.1|	100.000	114	100	1.26e-77	226	Probable acid stress chaperone HdeA
CDNNHOAL_00021	sp|A9ME89.1|	99.123	114	100	8.17e-77	224	Probable acid stress chaperone HdeA
CDNNHOAL_00021	sp|A5VU57.1|	97.368	114	100	2.40e-75	221	Probable acid stress chaperone HdeA
CDNNHOAL_00022	sp|A9ME88.1|	100.000	317	100	0.0	642	Glutaminase [Brucella canis ATCC 23365]
CDNNHOAL_00022	sp|B2SBQ3.1|	99.054	317	100	0.0	635	Glutaminase [Brucella abortus S19]
